MAE,RMSE,R2,MedAE,model,is_baseline,fold,validation_month,train_rows,validation_rows,fit_seconds,predict_seconds
49000.0,62652.72249761886,-0.038985839886207074,38000.0,Dummy Median,True,1,202510,453,44,0.0253993000369519,0.010939499945379794
63627.1186440678,78908.65777078229,-0.12107803675757278,51000.0,Dummy Median,True,2,202511,497,59,0.019030499970540404,0.009763399953953922
52455.882352941175,64792.769204414086,-0.007454749585422027,47500.0,Dummy Median,True,3,202512,556,68,0.02209939993917942,0.010872300015762448
54667.158671586716,70961.82228073216,-0.06343469548026959,42000.0,Dummy Median,True,4,202601,624,271,0.02217070001643151,0.01055800006724894
51132.67973856209,65148.38668441222,-0.057920410068103445,39500.0,Dummy Median,True,5,202602,895,306,0.021593600045889616,0.010757399955764413
32094.169246972167,42264.5800696188,0.5271941402978202,25324.980796942662,Linear Regression,False,1,202510,453,44,0.0487004000460729,0.010343499947339296
33653.75668042746,45467.891335840104,0.6277830391058347,22205.933532122523,Linear Regression,False,2,202511,497,59,0.0463891999097541,0.008019900065846741
26634.091448100266,35830.692819704986,0.6919062583871276,17810.30745024192,Linear Regression,False,3,202512,556,68,0.05141930002719164,0.009049899992533028
26561.969420185444,36140.77712434438,0.7241606123479565,18930.803866505332,Linear Regression,False,4,202601,624,271,0.05396759998984635,0.01151500002015382
25190.196459639003,33698.35630916286,0.716950037954993,18759.474095573198,Linear Regression,False,5,202602,895,306,0.0606703000376001,0.009825699962675571
27551.97311169441,36030.66221426676,0.6563833321106856,19160.10647186445,Ridge Regression,False,1,202510,453,44,0.027490100008435547,0.010797000024467707
30803.532206661006,42485.96385697336,0.6750043989450245,21301.501750946598,Ridge Regression,False,2,202511,497,59,0.09862099995370954,0.008637099992483854
22417.73167310362,31525.47936076379,0.761495892446339,12534.319157703721,Ridge Regression,False,3,202512,556,68,0.024650299921631813,0.00968550005927682
23911.164767977036,34252.961546682614,0.752224956882149,15505.079405914963,Ridge Regression,False,4,202601,624,271,0.024753600009717047,0.009038700023666024
22762.936650675332,31882.871006871945,0.7466268975723666,15702.61311204161,Ridge Regression,False,5,202602,895,306,0.028050499968230724,0.009660899988375604
8398.29210735604,12087.897122708408,0.9613249179202279,5703.37053571429,Random Forest,False,1,202510,453,44,0.397942699957639,0.022054299945011735
17311.12202075231,31390.828677236357,0.8225842819162208,7050.654761904705,Random Forest,False,2,202511,497,59,0.46152220002841204,0.01609739998821169
12425.073223039215,22825.29902910217,0.8749725376000119,5089.089781746035,Random Forest,False,3,202512,556,68,0.518567300052382,0.024353799992240965
13346.59414053556,27054.126513749834,0.8454288850560289,3837.9613095238165,Random Forest,False,4,202601,624,271,0.6379049000097439,0.02804090001154691
11488.635325594883,21257.226674152327,0.8873687582371632,4397.54464285713,Random Forest,False,5,202602,895,306,0.9933401000453159,0.0245977999875322
13062.821344613803,21255.21684530546,0.8804193764473754,7379.412658855086,Gradient Boosting,False,1,202510,453,44,0.40336440003011376,0.008335700025781989
16975.347259595255,31637.26273470915,0.8197877394673124,8030.94492502397,Gradient Boosting,False,2,202511,497,59,0.4004042000742629,0.009065200109034777
13903.040626538419,24360.57755482471,0.8575876587784641,6861.429697932443,Gradient Boosting,False,3,202512,556,68,0.4876550000626594,0.012746699969284236
15120.551349027035,27772.163228265694,0.8371151378607619,7608.349816960108,Gradient Boosting,False,4,202601,624,271,0.4687587999505922,0.010648900060914457
12975.909296939992,22911.682444833597,0.8691542479360133,7219.544047869786,Gradient Boosting,False,5,202602,895,306,0.5342453999910504,0.015502399997785687
48635.733305116766,62304.005522738444,-0.027452304113434245,37670.84984359653,SVR (RBF),False,1,202510,453,44,0.037089599994942546,0.012096800026483834
63159.70705742553,78447.1072714484,-0.10800163016261699,50153.859067351266,SVR (RBF),False,2,202511,497,59,0.04394749994389713,0.01228979998268187
51783.390240964676,64293.23771732844,0.008019674692956613,46773.54664873064,SVR (RBF),False,3,202512,556,68,0.04681410000193864,0.01539239997509867
54017.218965981294,70289.60999085329,-0.04338256070830848,41137.212368864304,SVR (RBF),False,4,202601,624,271,0.0587595000397414,0.04981150000821799
50224.38699469311,64245.570168585284,-0.028802570149623286,38743.22981281554,SVR (RBF),False,5,202602,895,306,0.09643750009126961,0.062168499920517206
