segment_feature,segment_value,rows,MAE,RMSE,R2,MedAE
job_category,AI Engineering,156,26372.702703777708,41290.08299649033,0.32147234492240395,14136.77023809521
job_category,Data Science,22,1819.2826479076584,2267.879030532761,-0.4738574563712403,1484.9246031746152
job_category,Governance,26,3256.4212454212425,4018.3181118118277,-0.7023223928033875,2811.58928571429
country,Australia,16,8990.677182539659,12217.5149338792,0.9730563770470106,6691.595238095222
country,China,19,13265.72322472849,23996.787142991336,0.8464123046243518,2460.8214285714494
country,France,15,17408.526479076474,44918.183847455366,0.5289177366675815,3048.238095238077
country,Germany,18,9016.889902998244,12680.280112962042,0.9464757740784115,5242.771825396834
country,Japan,15,20362.71285714285,38246.90710523648,0.7162680873833365,5783.411904761946
country,Netherlands,15,12115.47550264549,22135.687832397947,0.8838774433087547,5571.007936507871
country,Singapore,16,20094.302182539683,35315.06504611029,0.6656771396507732,4131.917857142849
country,Switzerland,20,23009.214404761908,43217.71619142235,0.7071518289101781,5155.884523809524
country,UAE,16,7206.514533730157,13214.07032148703,0.9585785074909204,2015.2678571428478
country,UK,16,20268.086557539686,40480.53398749166,0.7195305168056922,4028.5099206349114
country,USA,100,16389.568297979797,30692.727882839517,0.7572939159540379,5456.144841269779
experience_level,Entry (0-2 yrs),79,35117.99750945257,54223.39678571684,0.41461590071940757,16746.620634920633
experience_level,Lead (10+ yrs),80,7398.313788780663,12359.966149492111,0.9597411974811947,3580.386904761908
experience_level,Mid (3-5 yrs),69,7413.193328732459,11364.715541570682,0.9595596367972163,3444.916666666657
experience_level,Senior (6-9 yrs),70,8689.23218202432,14473.353091007863,0.9637411036048736,3711.5773809523525
