column,count,mean,std,min,25%,50%,75%,max
years_of_experience,1500.0,6.216,2.675216225760025,1.0,4.0,6.0,8.0,15.0
annual_salary_usd,1500.0,194892.0,66506.82201285443,90000.0,144750.0,180000.0,236250.0,384000.0
salary_min_usd,1500.0,135448.66666666666,24448.950877728268,90000.0,120000.0,140000.0,155000.0,180000.0
salary_max_usd,1500.0,257537.33333333334,39852.82220680806,180000.0,218000.0,270000.0,290000.0,320000.0
ai_salary_premium_pct,1500.0,10.8582,4.0297417583627775,3.0,8.2,10.5,14.2,18.0
demand_score,1500.0,87.52333333333333,8.026315263766087,68.0,82.0,89.0,95.0,98.0
demand_growth_yoy_pct,1500.0,31.116333333333333,22.046343174938265,5.0,15.375,23.4,42.7,87.8
benefits_score_10,1500.0,7.963333333333333,1.1759722911029198,6.0,7.0,8.0,9.0,10.0
posting_year,1500.0,2025.584,0.49305787765110215,2025.0,2025.0,2026.0,2026.0,2026.0
posting_month,1500.0,3.968,3.270388299027749,1.0,2.0,3.0,5.0,12.0
is_senior,1500.0,0.49666666666666665,0.500155635106155,0.0,0.0,0.0,1.0,1.0
is_remote_friendly,1500.0,0.754,0.43082216573933174,0.0,1.0,1.0,1.0,1.0
is_llm_role,1500.0,0.218,0.4130250918338048,0.0,0.0,0.0,0.0,1.0
