job_id,experience_level,years_of_experience
AIJOB1497,Senior (6-9 yrs),15
AIJOB1498,Mid (3-5 yrs),15
AIJOB1493,Senior (6-9 yrs),14
AIJOB1285,Entry (0-2 yrs),14
AIJOB1486,Mid (3-5 yrs),13
AIJOB0171,Entry (0-2 yrs),13
AIJOB0320,Entry (0-2 yrs),13
AIJOB1491,Senior (6-9 yrs),13
AIJOB1450,Senior (6-9 yrs),12
AIJOB1451,Senior (6-9 yrs),12
AIJOB1454,Senior (6-9 yrs),12
AIJOB0274,Entry (0-2 yrs),12
AIJOB1456,Senior (6-9 yrs),12
AIJOB0298,Entry (0-2 yrs),12
AIJOB1458,Senior (6-9 yrs),12
AIJOB0789,Entry (0-2 yrs),12
AIJOB1462,Senior (6-9 yrs),12
AIJOB1463,Senior (6-9 yrs),12
AIJOB0953,Entry (0-2 yrs),12
AIJOB1465,Senior (6-9 yrs),12
AIJOB1466,Senior (6-9 yrs),12
AIJOB1414,Entry (0-2 yrs),12
AIJOB1468,Mid (3-5 yrs),12
AIJOB1469,Mid (3-5 yrs),12
AIJOB1471,Mid (3-5 yrs),12
AIJOB1474,Senior (6-9 yrs),12
AIJOB0335,Entry (0-2 yrs),12
AIJOB0400,Entry (0-2 yrs),12
AIJOB0472,Entry (0-2 yrs),12
AIJOB1479,Mid (3-5 yrs),12
AIJOB1481,Mid (3-5 yrs),12
AIJOB0520,Entry (0-2 yrs),12
AIJOB0918,Entry (0-2 yrs),12
AIJOB0014,Entry (0-2 yrs),12
AIJOB1162,Entry (0-2 yrs),11
AIJOB1421,Mid (3-5 yrs),11
AIJOB1347,Entry (0-2 yrs),11
AIJOB1423,Mid (3-5 yrs),11
AIJOB0088,Entry (0-2 yrs),11
AIJOB0158,Entry (0-2 yrs),11
AIJOB1427,Senior (6-9 yrs),11
AIJOB1430,Mid (3-5 yrs),11
AIJOB1432,Senior (6-9 yrs),11
AIJOB1433,Senior (6-9 yrs),11
AIJOB1434,Senior (6-9 yrs),11
AIJOB1435,Mid (3-5 yrs),11
AIJOB1436,Mid (3-5 yrs),11
AIJOB1440,Mid (3-5 yrs),11
AIJOB1441,Senior (6-9 yrs),11
AIJOB1442,Mid (3-5 yrs),11
AIJOB1443,Mid (3-5 yrs),11
AIJOB1444,Senior (6-9 yrs),11
AIJOB1445,Mid (3-5 yrs),11
AIJOB1446,Mid (3-5 yrs),11
AIJOB1447,Mid (3-5 yrs),11
AIJOB0229,Entry (0-2 yrs),11
AIJOB1321,Senior (6-9 yrs),10
AIJOB1322,Mid (3-5 yrs),10
AIJOB1324,Senior (6-9 yrs),10
AIJOB1325,Mid (3-5 yrs),10
AIJOB1328,Senior (6-9 yrs),10
AIJOB1329,Senior (6-9 yrs),10
AIJOB0358,Entry (0-2 yrs),10
AIJOB1332,Mid (3-5 yrs),10
AIJOB1333,Senior (6-9 yrs),10
AIJOB1334,Mid (3-5 yrs),10
AIJOB0378,Entry (0-2 yrs),10
AIJOB1336,Mid (3-5 yrs),10
AIJOB1338,Mid (3-5 yrs),10
AIJOB1339,Mid (3-5 yrs),10
AIJOB1340,Senior (6-9 yrs),10
AIJOB1343,Senior (6-9 yrs),10
AIJOB1345,Senior (6-9 yrs),10
AIJOB0445,Entry (0-2 yrs),10
AIJOB0561,Entry (0-2 yrs),10
AIJOB1349,Senior (6-9 yrs),10
AIJOB0637,Entry (0-2 yrs),10
AIJOB0695,Entry (0-2 yrs),10
AIJOB0830,Entry (0-2 yrs),10
AIJOB1354,Mid (3-5 yrs),10
AIJOB1356,Mid (3-5 yrs),10
AIJOB0879,Entry (0-2 yrs),10
AIJOB0893,Entry (0-2 yrs),10
AIJOB0947,Entry (0-2 yrs),10
AIJOB1362,Senior (6-9 yrs),10
AIJOB1363,Senior (6-9 yrs),10
AIJOB0984,Entry (0-2 yrs),10
AIJOB1366,Senior (6-9 yrs),10
AIJOB1367,Mid (3-5 yrs),10
AIJOB0996,Entry (0-2 yrs),10
AIJOB1019,Entry (0-2 yrs),10
AIJOB1079,Entry (0-2 yrs),10
AIJOB1373,Senior (6-9 yrs),10
AIJOB1376,Mid (3-5 yrs),10
AIJOB1107,Entry (0-2 yrs),10
AIJOB1378,Senior (6-9 yrs),10
AIJOB1379,Senior (6-9 yrs),10
AIJOB1381,Senior (6-9 yrs),10
AIJOB1235,Entry (0-2 yrs),10
AIJOB1383,Senior (6-9 yrs),10
AIJOB1244,Entry (0-2 yrs),10
AIJOB1385,Senior (6-9 yrs),10
AIJOB1314,Entry (0-2 yrs),10
AIJOB1387,Senior (6-9 yrs),10
AIJOB1389,Mid (3-5 yrs),10
AIJOB1320,Entry (0-2 yrs),10
AIJOB1357,Entry (0-2 yrs),10
AIJOB1392,Mid (3-5 yrs),10
AIJOB1393,Senior (6-9 yrs),10
AIJOB1394,Mid (3-5 yrs),10
AIJOB1360,Entry (0-2 yrs),10
AIJOB1396,Mid (3-5 yrs),10
AIJOB1397,Senior (6-9 yrs),10
AIJOB1399,Mid (3-5 yrs),10
AIJOB1400,Senior (6-9 yrs),10
AIJOB1401,Mid (3-5 yrs),10
AIJOB1402,Mid (3-5 yrs),10
