MAE,RMSE,R2,MedAE,model,is_baseline,fold,validation_month,train_rows,validation_rows,fit_seconds,predict_seconds
49000.0,62652.72249761886,-0.038985839886207074,38000.0,Dummy Median,True,1,202510,453,44,0.027614200000243727,0.009490100001130486
63627.1186440678,78908.65777078229,-0.12107803675757278,51000.0,Dummy Median,True,2,202511,497,59,0.036322500000096625,0.027449799999885727
52455.882352941175,64792.769204414086,-0.007454749585422027,47500.0,Dummy Median,True,3,202512,556,68,0.036169500002870336,0.017694600002869265
54667.158671586716,70961.82228073216,-0.06343469548026959,42000.0,Dummy Median,True,4,202601,624,271,0.026143400002183625,0.02186939999955939
51132.67973856209,65148.38668441222,-0.057920410068103445,39500.0,Dummy Median,True,5,202602,895,306,0.02956400000039139,0.012713499996607425
32094.169246972157,42264.580069618845,0.5271941402978192,25324.980796942385,Linear Regression,False,1,202510,453,44,0.04517719999785186,0.010625900002196431
33653.756680427454,45467.89133584006,0.6277830391058354,22205.933532122523,Linear Regression,False,2,202511,497,59,0.04335440000068047,0.011532799999258714
26634.0914481003,35830.69281970503,0.6919062583871269,17810.307450241977,Linear Regression,False,3,202512,556,68,0.059232600000541424,0.012417300000379328
26561.96942018545,36140.777124344386,0.7241606123479565,18930.803866505332,Linear Regression,False,4,202601,624,271,0.04252730000007432,0.01773460000185878
25190.196459639003,33698.35630916286,0.716950037954993,18759.474095573198,Linear Regression,False,5,202602,895,306,0.06170439999914379,0.010445600000821287
27551.97311169442,36030.66221426676,0.6563833321106856,19160.10647186445,Ridge Regression,False,1,202510,453,44,0.01809769999817945,0.007945299999846611
30803.532206661006,42485.96385697336,0.6750043989450245,21301.501750946583,Ridge Regression,False,2,202511,497,59,0.020694800001365365,0.010602800000924617
22417.731673103615,31525.479360763813,0.7614958924463386,12534.319157703765,Ridge Regression,False,3,202512,556,68,0.021709500000724802,0.01181429999996908
23911.16476797705,34252.96154668261,0.7522249568821491,15505.079405915167,Ridge Regression,False,4,202601,624,271,0.027027100000850623,0.0139143000014883
22762.936650675318,31882.87100687193,0.7466268975723668,15702.613112041596,Ridge Regression,False,5,202602,895,306,0.04419340000094962,0.015815200000361074
8398.29210735604,12087.897122708408,0.9613249179202279,5703.37053571429,Random Forest,False,1,202510,453,44,0.30061340000247583,0.019150800002535107
17311.12202075231,31390.828677236357,0.8225842819162208,7050.654761904705,Random Forest,False,2,202511,497,59,0.2832053999991331,0.02035959999921033
12425.073223039215,22825.29902910217,0.8749725376000119,5089.089781746035,Random Forest,False,3,202512,556,68,0.38820620000115014,0.029960800002299948
13346.59414053556,27054.126513749834,0.8454288850560289,3837.9613095238165,Random Forest,False,4,202601,624,271,0.37595929999952205,0.03437119999944116
11488.635325594883,21257.226674152327,0.8873687582371632,4397.54464285713,Random Forest,False,5,202602,895,306,0.5446790999994846,0.01796680000188644
13062.821344613803,21255.21684530546,0.8804193764473754,7379.412658855086,Gradient Boosting,False,1,202510,453,44,0.2361505999979272,0.008561300001019845
16975.347259595255,31637.26273470915,0.8197877394673124,8030.94492502397,Gradient Boosting,False,2,202511,497,59,0.2449246999967727,0.010823800002981443
13903.040626538419,24360.57755482471,0.8575876587784641,6861.429697932443,Gradient Boosting,False,3,202512,556,68,0.2750940999976592,0.009938400002283743
15120.551349027035,27772.163228265694,0.8371151378607619,7608.349816960108,Gradient Boosting,False,4,202601,624,271,0.2771241000009468,0.014944800001103431
12975.909296939992,22911.682444833597,0.8691542479360133,7219.544047869786,Gradient Boosting,False,5,202602,895,306,0.3228278999995382,0.01995360000000801
48635.733305116766,62304.005522738444,-0.027452304113434245,37670.84984359653,SVR (RBF),False,1,202510,453,44,0.0365419000008842,0.021841300000232877
63159.70705742553,78447.1072714484,-0.10800163016261699,50153.859067351266,SVR (RBF),False,2,202511,497,59,0.03925810000146157,0.01501319999806583
51783.390240964676,64293.23771732844,0.008019674692956613,46773.54664873064,SVR (RBF),False,3,202512,556,68,0.03189860000202316,0.012868599998910213
54017.218965981294,70289.60999085329,-0.04338256070830848,41137.212368864304,SVR (RBF),False,4,202601,624,271,0.038710500000888715,0.033721499999955995
50224.38699469311,64245.570168585284,-0.028802570149623286,38743.22981281554,SVR (RBF),False,5,202602,895,306,0.07982380000248668,0.06359470000097645
