encoded_feature,importance
nominal__job_category_AI Engineering,0.5868434310057562
numeric__years_of_experience,0.2794781465922956
nominal__job_category_Robotics,0.012836799261789445
nominal__job_category_Security,0.008757287770288958
numeric__demand_score,0.005930158387234192
nominal__job_category_Architecture,0.00495348619955238
company_size__company_size,0.004812086584070068
numeric__skill_count,0.0046672001612671965
numeric__benefits_score_10,0.004574295260124467
nominal__job_category_Business,0.0039374472958311
education__education_required,0.00390517279080701
nominal__city_Austin,0.002926560299666477
skills__LLM APIs,0.0028077822735715985
skills__Agile,0.002744042582650732
nominal__job_category_Data Science,0.0025566844864775076
nominal__industry_Technology,0.002240706704494569
nominal__city_San Francisco,0.0021217473571883212
nominal__job_category_Product,0.0019665420110538284
nominal__remote_work_Hybrid,0.0016345620869320325
skills__LangChain,0.0016199932729950017
skills__SQL,0.0015663152024700607
nominal__remote_work_On-site,0.0015439134570740208
nominal__industry_Automotive,0.0014724141955616914
skills__Git,0.0014546808264891639
nominal__job_category_Research,0.0014406656674137988
nominal__job_category_Data Engineering,0.0014292540544231962
nominal__job_title_RAG Engineer,0.0014265140330415866
skills__Data Visualization,0.0013572861620967673
nominal__industry_Government,0.0012786574561577887
skills__PyTorch,0.0012648227054082248
nominal__industry_Finance,0.0012610260147083087
skills__Cloud,0.0010446674002329937
skills__Linux,0.0010275670838090429
skills__Leadership,0.0010256297292183312
skills__LLMs,0.001021214015420569
nominal__industry_Retail,0.0009650533301090405
nominal__remote_work_Fully Remote,0.000962776472130333
nominal__job_category_Governance,0.0009168567272983249
nominal__country_USA,0.000914050845510065
nominal__industry_Energy,0.0008969447934963093
skills__AutoGen,0.0008503110705872882
skills__Statistics,0.0008499180631115974
skills__Research,0.0008333872427788207
skills__Communication,0.000804469167106404
skills__Problem Solving,0.0007963352963152213
nominal__country_Singapore,0.0007824499523539506
nominal__industry_Education,0.0007556723712943416
skills__AI Literacy,0.0007425135315019027
skills__Python,0.0007104784237075832
skills__Embeddings,0.0006976079260305153
nominal__city_Singapore,0.0006402180567120724
nominal__job_category_ML Operations,0.0006152297972116341
nominal__industry_Research,0.00055372338469008
skills__Advanced Statistics,0.0005490066268187827
nominal__industry_Manufacturing,0.0005430251554897832
skills__CUDA,0.0005268543710597
skills__Vector DBs,0.0005146808472743016
skills__Text Processing,0.00048508928374327076
nominal__city_Boston,0.0004846885770278977
nominal__job_title_AI Agent Developer,0.0004738305262419025
nominal__city_Seattle,0.0004488976957537933
skills__Business Analysis,0.00044692443612360855
skills__Cloud (AWS/GCP/Azure),0.0004195904577681621
nominal__city_Los Angeles,0.0004192492459365332
skills__LLM Fine-tuning,0.0003908201208196575
nominal__job_title_Senior Data Scientist,0.0003736337251223971
skills__Tool Use,0.00037002818701889934
skills__Scikit-learn,0.00036352128154539274
skills__Networking,0.000358625355641413
skills__Documentation,0.0003559261392045958
skills__Auditing,0.00033863649093782665
skills__BERT,0.00032706395793117915
skills__ML,0.0003266469678692929
skills__Airflow,0.0003137684745656378
nominal__country_Germany,0.00030356073694731825
nominal__industry_Healthcare,0.00029876139302168506
skills__Prompt Engineering,0.0002967421261431227
skills__C++,0.00029486852290445
skills__Fine-tuning,0.00029483261138527
nominal__country_UK,0.0002901857658246807
nominal__job_title_Deep Learning Engineer,0.00028342116821596385
skills__Planning Systems,0.0002795249621243398
nominal__city_Chicago,0.0002794400580327796
skills__dbt,0.00027498901257468446
skills__Neural Networks,0.00027247431338732936
nominal__job_title_AI Compliance Manager,0.00026898454620233125
